shift_id,worker_id,extracted_at,shift_duration_hours,shift_start_hour,is_night_shift,day_of_week,total_upi_amount,total_pos_amount,total_digital_amount,upi_transaction_count,pos_transaction_count,avg_transaction_amount,max_transaction_amount,total_volume_dispensed,expected_cash_from_volume,nozzle_count_active,worker_avg_variance,worker_variance_std,worker_shift_count,worker_flagged_rate,label,scenario
da376caf-8e7c-41d9-89b5-fbe74a154a6e,4d08514a-405e-43b4-8cc7-2b2fd683ca43,2026-04-20T11:28:18.674716,6.1,8,False,1,49390.12,37155.99,86546.11,38,11,1766.25,3839.61,1067.85,106785.0,6,1611.24,640.54,29,0.5774,worker,suspicious_worker
75e12518-ed85-492f-976c-78928b17fc33,fdd5c34a-637b-472c-9714-b576fba95b05,2026-04-20T11:28:18.674782,6.8,16,False,5,75710.51,65617.89,141328.4,15,29,3212.01,7406.31,1453.93,145393.0,6,68.05,15.55,31,0.0153,unknown,normal
91ef317f-f739-4e7d-a0dd-43d96e542885,9fea334a-87e2-47a7-811c-e3aae173bb44,2026-04-20T11:28:18.674828,7.44,8,False,4,51589.9,55051.48,106641.38,22,17,2734.39,4317.06,1117.43,111743.0,5,165.88,61.85,33,0.0866,unknown,normal
82f50e04-3bed-4398-a980-196b607cc500,69174d1d-0f4e-4887-9d05-bbcaccd2ae91,2026-04-20T11:28:18.674868,6.18,7,False,6,32110.55,49571.49,81682.04,13,9,3712.82,9489.77,1147.27,114727.0,5,2069.29,1032.91,32,0.6658,worker,suspicious_worker
e7aad671-5ba7-4297-9863-819ce029b9ac,42eceb8f-cfc3-41f0-8e8f-e12670bbbae0,2026-04-20T11:28:18.674902,6.29,16,False,1,51477.12,54682.26,106159.38,18,13,3424.5,11562.22,1440.97,144097.0,4,3896.15,1764.28,18,0.4531,worker,suspicious_worker
4c9d4f14-275b-412d-9007-f9175f001a69,9bd8f590-961b-49f0-b305-e9fc8a3cf403,2026-04-20T11:28:18.674936,7.26,8,False,0,71548.88,38433.76,109982.64,35,11,2390.93,5153.5,1053.18,105318.0,6,176.94,64.29,19,0.0397,unknown,normal
fea0f1c4-6464-44a9-acf4-19a78e1c40f3,94e6893e-2dab-4160-a38d-91e9f153f363,2026-04-20T11:28:18.674963,8.25,8,False,5,71779.28,84344.03,156123.31,29,9,4108.51,8256.16,1501.5,150150.0,3,151.16,86.11,19,0.0941,unknown,normal
83c08bac-9627-4edb-b425-5519fdf3bbd0,8776fb02-3622-40ca-824e-925d42bb7eec,2026-04-20T11:28:18.675003,7.69,6,False,3,16591.34,15836.05,32427.39,5,3,4053.42,10225.02,352.65,35265.0,2,638.02,169.06,14,0.137,nozzle,nozzle_issues
68bf274d-7390-42e3-9ac3-ef8a0072a6a1,c0ec86dc-1da6-4464-8e89-c2dc59131770,2026-04-20T11:28:18.675028,9.82,16,False,2,101508.94,100268.94,201777.88,21,25,4386.48,7888.84,1966.27,196627.0,4,30.57,76.25,44,0.143,unknown,normal
09d6a13e-7d1b-4516-b26e-54e164a01446,5e33a2b1-f32f-439b-85a1-e0c19510cf70,2026-04-20T11:28:18.675056,11.67,2,True,2,15204.48,34017.8,49222.28,15,5,2461.11,6690.18,790.88,79088.0,2,1792.62,952.25,7,0.3196,time_window,night_anomaly
